CSAPATNÉV,ASZTALITENISZ,BEER-PONG,BEMUTATKOZÓ,BILIÁRD,BOGRÁCS,BOLC,CHANDELIER,CHEST - PONG,CITY TOUR,COOLTÚRA,CSOCSÓ,DANCE BATTLE,EROTIK,FÉRFI FOCI,FOTÓMARATON,JENGA,KARAOKE,KÉZILABDA,KLÁN-TOUR,KLÁN-TOUR NIGHT,KOSÁRLABDA,KULTÚRMARATON,MÉTA,NÉPTÁNC,N?I FOCI,PC:CS 2,PC:LOL,PÓKER,RÖPI,SAKK,SLAM,STAFÉTA,SZEMÉTSZEDÉS,TÁBLÉ,TÁNCMARATON,ÚSZÁS
S'tudja,140,80,318,45,198,150,30,215,271,108,90,80,257,140,80,175,90,300,236,230,300,220,220,80,80,75,150,120,200,45,60,170,100,90,349,116
GenItália,180,50,332,75,211,155,155,90,261,180,180,300,287,140,149,45,60,140,226,250,50,291,140,148,260,30,10,40,45,160,60,140,100,60,350,138
UNI-GUNS,120,140,333,60,228,140,200,70,273,108,50,80,275,80,118,75,300,80,236,230,50,288,110,225,110,75,150,30,200,60,60,136,100,45,350,92
Sörnyetegek,65,260,244,75,154,105,60,180,198,153,110,80,206,140,108,150,60,80,205,196,140,280,140,98,220,125,75,70,130,60,60,112,100,0,342,126
Shakesbeer,95,50,288,45,196,28,30,50,272,108,50,80,255,260,119,60,90,110,236,230,110,263,300,95,80,75,150,70,200,45,60,120,100,75,343,160
FuckTúra,65,140,323,75,250,65,30,110,257,180,145,300,159,80,138,60,90,180,226,250,110,278,110,166,50,30,0,70,45,145,60,145,100,45,349,46
Me Of Us One,65,300,290,60,164,125,60,50,182,63,215,130,176,80,146,45,90,80,249,218,50,255,80,60,300,30,125,70,45,60,200,132,100,45,350,88
 CheekLow,50,50,306,60,221,40,185,90,231,153,70,80,200,110,96,45,60,260,205,196,50,229,80,152,140,125,75,160,130,60,60,134,100,45,349,160
Koma-Szutra,80,80,315,45,201,38,60,50,195,108,70,80,248,50,84,60,60,140,236,230,140,222,260,54,110,75,150,70,200,90,60,160,100,75,350,112
Beez-Mute,65,50,334,45,127,160,50,50,252,180,110,300,300,50,137,60,90,50,226,250,140,289,110,205,80,30,10,30,45,60,60,90,100,45,343,88
Vá$örhely,50,220,303,90,198,30,40,90,245,180,50,300,230,50,148,75,90,50,226,250,50,272,80,176,50,30,10,50,45,75,60,138,100,75,347,136
K.O.SER,95,80,281,45,68,22,30,250,243,153,90,80,105,180,139,75,90,220,205,196,110,257,80,128,80,125,75,80,130,45,60,48,100,115,343,90
MozgéKonyak,80,80,193,75,173,135,30,70,224,126,70,220,235,80,127,60,60,140,250,212,80,292,50,144,50,30,30,40,70,130,175,92,100,60,350,124
Pussylva,50,110,282,45,140,110,0,50,240,126,70,220,257,80,150,45,90,110,250,212,50,263,80,124,80,30,30,80,70,60,175,64,100,75,350,72
Zsákmány,65,110,234,90,169,130,50,110,229,45,110,80,227,80,113,90,60,50,175,217,80,281,80,181,50,50,50,50,45,75,150,124,100,60,346,134
?-beer,50,80,238,90,209,95,70,70,258,63,70,130,222,50,141,60,60,50,249,218,50,293,50,70,110,30,125,20,45,45,200,68,100,45,350,120
Strohgerek,65,50,227,45,167,31,110,90,177,171,90,260,258,50,150,60,200,50,99,219,50,246,50,156,50,50,30,140,45,45,60,96,100,60,349,78
.S!C'R,80,50,231,60,186,90,40,90,249,117,50,130,169,300,136,45,60,80,227,191,50,281,110,26,50,30,30,50,45,75,60,78,100,75,349,100
BEER-ka,50,50,221,90,137,27,0,50,222,162,50,180,183,50,68,200,60,50,219,212,80,272,80,104,140,50,50,80,70,45,60,150,100,45,343,134
Búvármedvék,65,50,233,45,87,36,80,50,262,126,70,220,185,50,111,45,60,110,250,212,50,236,80,110,80,30,30,110,70,90,175,86,100,45,346,84
WeSithek,65,50,273,45,141,44,50,50,216,63,50,130,148,50,146,125,90,50,249,218,50,287,50,32,80,30,125,80,45,90,200,84,100,145,345,70
Vá$örhelyOLÉÉÉ,50,50,273,60,154,22,60,50,137,72,50,80,263,80,105,45,60,110,177,195,220,315,110,92,50,30,50,30,70,90,125,118,100,45,345,170
Anyukád kedvenc csapata,50,110,251,45,151,25,140,110,189,45,70,80,157,80,150,45,90,110,175,217,80,275,110,215,50,50,50,50,45,60,150,72,100,45,350,60
SZERVEZTEM,50,50,68,45,246,80,40,145,254,144,70,130,139,50,131,45,90,50,214,209,80,313,50,76,50,30,30,50,165,115,100,102,100,90,350,52
Szeszkimók,50,140,234,45,61,23,20,70,213,153,50,80,181,50,107,45,160,50,205,196,50,207,180,186,50,125,75,20,130,60,60,88,100,60,346,120
Beerluck,80,50,308,45,107,26,30,70,183,117,70,130,240,110,90,90,60,80,227,191,80,266,110,113,110,30,30,40,45,60,60,80,100,90,343,128
A Kocka Másik Oldala,50,80,270,60,193,30,70,50,260,72,50,80,241,110,124,45,60,80,177,195,80,291,50,46,50,30,50,100,70,60,125,106,100,60,347,124
Drunkin' Donuts,50,110,274,60,100,32,80,70,257,54,90,80,138,50,108,60,60,80,144,212,140,243,140,48,50,150,100,150,45,45,60,84,100,45,339,134
In-Team,50,50,249,145,156,75,170,70,153,45,90,80,182,50,136,60,60,50,175,217,80,207,80,56,180,50,50,60,45,75,150,56,100,60,345,60
Magyar Szisztem,50,80,226,60,151,145,80,50,197,72,250,80,173,110,140,45,90,50,177,195,50,223,50,107,80,30,50,60,70,45,125,76,100,0,350,66
Fröccsögök,95,80,215,60,127,34,30,90,187,99,50,130,203,80,75,90,60,50,124,235,180,274,50,161,80,30,30,80,70,60,60,104,100,45,346,110
Cum With Us,50,80,174,60,107,50,40,90,207,126,50,220,241,50,108,60,90,50,250,212,80,262,50,38,80,30,30,20,70,45,175,94,100,45,349,78
WaTtaFák,65,50,273,75,170,31,40,0,275,117,50,130,221,110,132,45,90,110,227,191,110,230,50,101,50,30,30,30,45,45,60,110,100,45,342,80
Verbunk,65,50,191,45,109,115,0,50,235,45,110,80,180,80,50,45,180,80,175,217,50,261,50,136,110,50,50,40,45,45,150,114,100,45,346,106
Art-Isztok,65,50,199,45,168,24,80,50,206,162,50,180,161,50,126,75,90,50,219,212,80,228,80,120,50,50,50,30,70,45,60,74,100,45,345,110
AbszolÚt,50,80,250,45,120,44,20,50,168,63,70,130,128,50,116,45,90,80,249,218,80,211,80,116,80,30,125,20,45,75,200,46,100,45,347,98
Hupikék Sörikék,80,50,187,45,78,21,70,70,205,72,50,80,183,80,24,45,240,50,177,195,260,299,80,132,50,30,50,30,70,60,125,0,100,75,348,0
WhatsOn,160,50,225,60,83,42,80,50,243,135,50,80,163,80,147,45,90,50,240,208,50,257,50,40,80,100,30,30,45,0,60,116,100,45,349,70
Tequila Tigrisek,50,50,249,45,61,40,40,50,198,162,50,180,106,50,119,75,280,50,219,212,110,206,50,52,50,50,50,20,70,75,60,0,100,60,350,104
MuraTura,80,180,268,45,118,28,60,90,179,171,50,260,176,50,142,45,60,50,99,219,50,205,50,44,50,50,30,50,45,45,60,0,100,130,350,0
 BasszHattyúk,95,50,170,60,83,48,20,50,241,144,50,130,165,50,130,45,60,50,214,209,50,234,50,82,50,30,30,60,165,45,100,70,100,60,320,96
 Hököl,80,50,204,45,150,85,70,50,143,99,50,130,195,110,118,60,60,110,124,235,50,268,50,64,50,30,30,40,70,60,60,98,100,60,349,44
 FehérlóPhia,50,80,168,45,84,24,95,70,160,99,70,130,269,220,0,45,260,50,124,235,110,0,50,36,80,30,30,80,70,60,60,130,100,45,340,74
 Biolorgia,50,80,268,75,118,27,40,50,188,90,50,80,241,50,128,45,60,140,237,214,50,248,50,78,50,30,30,20,95,45,60,0,100,60,344,54
 RÁMSZESZ,50,110,277,45,148,25,50,50,159,162,50,180,131,80,120,75,60,50,219,212,50,231,50,28,80,50,50,40,70,45,60,0,100,60,331,0
 Sörös-Terv,65,140,220,115,80,42,50,50,190,81,70,80,215,50,120,45,90,80,140,167,50,202,50,84,140,50,50,40,45,45,60,108,100,45,333,0
 BorÁszok,65,80,242,60,0,38,50,70,169,135,90,80,118,80,64,45,60,50,240,208,80,261,110,89,50,100,30,50,45,45,60,58,100,60,332,48
 N@fing,50,80,214,60,103,21,60,50,184,135,70,80,110,50,60,45,60,50,240,208,50,266,50,42,110,100,30,90,45,75,60,52,100,60,349,42
Mad Dogs,50,110,183,75,136,48,20,110,184,171,50,260,177,110,119,45,90,80,99,219,50,222,80,58,110,50,30,70,45,45,60,100,100,45,0,0
KomlóShock,50,50,198,45,68,23,125,0,206,90,70,80,233,50,0,45,90,50,237,214,50,259,50,34,110,30,30,60,95,75,60,122,100,45,350,0
CHEEKY-SHARE,65,50,192,45,0,70,70,50,120,54,70,80,0,140,29,90,60,110,144,212,110,183,80,74,80,150,100,130,45,45,60,0,100,160,215,160
Etilalakulat,80,50,247,45,114,120,70,70,129,99,50,130,146,50,0,60,60,50,124,235,50,225,50,66,50,30,30,40,70,45,60,60,100,45,333,116
Weedrák,50,50,239,60,124,46,20,50,120,90,50,80,115,50,65,45,90,0,237,214,50,214,140,50,50,30,30,80,95,45,60,44,100,60,344,96
Durgolax,65,110,209,45,70,46,70,50,111,54,90,80,64,50,103,45,60,50,144,212,20,205,50,140,50,150,100,60,45,45,60,126,100,0,342,52
 Buli-Guns,50,110,144,45,0,50,80,70,0,171,50,260,150,50,0,60,140,80,99,219,80,231,50,171,50,50,30,20,45,60,60,42,100,75,333,0
 amitakartok,50,50,167,45,104,0,60,50,170,144,0,130,188,50,0,60,220,50,214,209,50,0,50,62,50,30,30,20,165,45,100,0,100,60,350,140
RoxtARRok,50,80,154,45,105,32,80,70,117,81,50,80,0,110,0,60,60,80,140,167,80,240,50,195,140,50,50,40,45,45,60,128,100,45,342,0
IGNORE,50,50,188,130,93,36,70,50,167,81,90,80,0,80,78,75,60,80,140,167,50,176,80,86,50,50,50,60,45,60,60,62,100,45,350,64
